Txhash,Blockno,UnixTimestamp,DateTime,From,To,ContractAddress,Value_IN(BNB),Value_OUT(BNB),CurrentValue @ $315.32/BNB,TxnFee(BNB),TxnFee(USD),Historical $Price/BNB,Status,ErrCode,Method
0xa01f149ccb1ba30d14c6439f69e0f2dffb232f3dd67b3fa2678b1313e71421f2,28500763,1684961758,5/24/2023 20:55,0x3ced398ab42524f7e2b362f5bb453ce42b461745,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,305.91,,,Approve
0x0774f02d47acce74070ffc6cd40a826133e3e168e81618f117e1d2005add6691,28500763,1684961758,5/24/2023 20:55,0x5a41b5fa6a1173aaf806a50a830b212aac2c47a2,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,305.91,,,Approve
0xcd488889698c248c7aea2c05c5c212c6951c1a669583919ad5ae5aab177e7e02,28500952,1684962325,5/24/2023 21:05,0x4ec7102b8016447e472480a742b72f18798a70ff,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,305.91,,,Approve
0x4627921d1461cb3f86ffbdb749e9ae318a7c41315159f3c3f639ce60a8ad1b8d,28501134,1684962871,5/24/2023 21:14,0x0ec033072c84c3d112b789f27859e0f40a2b6d86,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x3f16677056d9d24fe70504827b3a15ff8ae1ca1afacbaae3ef089f6ea0ca3c0a,28501464,1684963867,5/24/2023 21:31,0x1f52510f184379bb7c3015e94235c1a6b625f25e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0xccf9f9d0ce33c99ce21bcef0829372328a364c07b25ce0cd1cafe30b7ff848b8,28501495,1684963960,5/24/2023 21:32,0x1f52510f184379bb7c3015e94235c1a6b625f25e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000043683,0.013774124,305.91,,,Approve
0xf797574f280c751a5384108f88e2188103c77a95c847d2bd929776d9d0c31e1c,28501535,1684964080,5/24/2023 21:34,0x35b532df68b4f7a100a728f8ac72691d005ee0ff,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000132762,0.041862514,305.91,,,Approve
0xf3b74b6123da7b9b463ddc31974553366f0bd7770a5b2cdd27e65c2e21ae9b86,28501626,1684964353,5/24/2023 21:39,0x1f52510f184379bb7c3015e94235c1a6b625f25e,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0x4a09e589d04832c17a7176936f44f6cd163b5660a6c03b252b7fbb3036bac5b0,28501991,1684965448,5/24/2023 21:57,0xee63ae840707ab803e697516aa789e76267261af,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000176536,0.055665332,305.91,,,Approve
0x9e109ecd6db1b5b788ef475f3d251cd78769797fd859cb847aceffeee59f1abe,28502120,1684965836,5/24/2023 22:03,0x766a1632f7a4bae4b34891dee3eca97f2696b6fe,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0xf5fb526cd508c310c8099c8a9a9a6774960581e51d9a73f4bb58010e26df62f6,28502226,1684966154,5/24/2023 22:09,0x766a1632f7a4bae4b34891dee3eca97f2696b6fe,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.000133518,0.042100896,305.91,,,Approve
0xf9f3e12d892038cadc324da38b7d2886dddb7421a896ace969dfa6ee3b9ac4b9,28502321,1684966439,5/24/2023 22:13,0x9c7c6e784afebf5c977cd613308c771093235794,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,305.91,,,Approve
0xd71d9cdc6115ab668f0a04e7c01cceb6cd46f784eea3d8d014a4ff58ab61e893,28502321,1684966439,5/24/2023 22:13,0x7f44e4ffbcb34280afb3f9f864f7ab9e2765ac96,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,305.91,,,Approve
0xef37f1540fe0462981f535769305c41f05f67bf8d64b6e2f6a667c209c845b12,28502321,1684966439,5/24/2023 22:13,0x3fc2363ad0e155bd6f48b472c3b94d8b0e5496b7,0xfbffeccb8ec2d959b15699ef80d035c5f5a7bf50,,0,0,0,0.00022253,0.07016816,305.91,,,Approve
